"Label","Gender","Publication","Relative longevity (Ln)","Relative steepness (Ln)","p-value","KSm test stat","KSm p-value"
"RaAc9","f","C2017","Around[0.21444276843854176, 0.0018099684169801831]","Around[0.0380316784065925, 0.00941602125356321]",2.7279388480778585e-44,1.0829350150130392,0.19159925286161356
"RaAc9","m","C2017","Around[0.28565089330628685, 0.0033493636088706906]","Around[0.32286938306377516, 0.011577654960392484]",1.8919664331571958e-22,1.4126351468725808,0.0369596339650952
"Rapa","f","C2005","Around[0.1145012403893563, 0.0022575122265441334]","Around[-0.12798147750332897, 0.008480477371117047]",5.946327807065527e-17,0.9762795459416249,0.2972753922755701
"Rapa","f","C2006","Around[0.16135929294373821, 0.0019967595212465506]","Around[0.09099974736759574, 0.00937024118228762]",6.856118622747177e-19,1.0138632911340513,0.2559711936449467
"Rapa","m","C2005","Around[0.13798214210182194, 0.0023984373833185863]","Around[0.20504691339762338, 0.008405765320700012]",6.532005500319041e-10,1.0787226416705902,0.195120513230443
"Rapa","m","C2006","Around[0.09978143010725875, 0.002519724326956522]","Around[-0.07397414699160706, 0.0085891818748934]",2.815433573640601e-7,0.7756650937686909,0.600396208125969
"Rapa_hi","f","C2009","Around[0.22870856724705077, 0.0014084983404906808]","Around[0.49508823385289924, 0.011696740714627504]",4.967457471211819e-54,1.7974688130933303,0.003123999873410373
"Rapa_hi","m","C2009","Around[0.15062516347855295, 0.002974847033794612]","Around[0.15513141192290109, 0.010873363495207733]",4.311896464012489e-8,1.1139935218402948,0.16715797546362887
"Rapa_hi_continuous","f","C2015","Around[0.09731595928384396, 0.002405148105876613]","Around[-0.19157839302288956, 0.011538783156403595]",2.269138718254985e-12,1.2953719103516714,0.06975057659664026
"Rapa_hi_continuous","m","C2015","Around[0.1048326816132813, 0.003008537584572129]","Around[0.142588701087368, 0.00878133824849194]",0.002839770841593952,0.6481117894330036,">= 0.8"
"Rapa_hi_cycle","f","C2015","Around[0.06496359644665367, 0.002118898605177055]","Around[-0.13102314367798196, 0.008795919270584656]",0.0000218046991452589,0.8656610702828873,0.4468237771573814
"Rapa_hi_cycle","m","C2015","Around[0.09520012437034155, 0.002949870642959979]","Around[-0.04111359109120073, 0.009257334331293995]",0.000048275352990455084,0.8822261260156794,0.4216841544733332
"Rapa_hi_start_stop","f","C2015","Around[0.028167946461146957, 0.001951305218512238]","Around[-0.001218517536918417, 0.00906689363799677]",0.23005782398197996,0.719766769559151,0.7096515354526198
"Rapa_hi_start_stop","m","C2015","Around[0.07328104816981063, 0.003401068925574759]","Around[0.07784970928736042, 0.009592009644126138]",0.02567356453753512,0.7918456516540013,0.5706998344472133
"Rapa_lo","f","C2009","Around[0.12855748878078033, 0.001922687789846892]","Around[0.033216043791184084, 0.009123972237782307]",1.008145907580162e-13,0.8193227459205974,0.522342203615043
"Rapa_lo","m","C2009","Around[0.019894047905069986, 0.0034035742730839508]","Around[-0.1301834439271789, 0.00883327042566274]",0.11392778848526963,0.7619554597603173,0.6262503518435655
"Rapa_mid","f","C2009","Around[0.1901168562666054, 0.0019044049351906803]","Around[0.07379859580993543, 0.007508021082593921]",6.13555633791153e-27,0.6428496453279627,">= 0.8"
"Rapa_mid","m","C2009","Around[0.07250317941061404, 0.0030326383718308637]","Around[-0.0067917817355639286, 0.008729507604402274]",0.014443082662103883,0.7877882881675957,0.5780623215403078
"Res","f","C2007","Around[0.026548363052074718, 0.001867911494866423]","Around[0.19842302255308833, 0.010374300488920421]",0.044194731900403725,1.0835771118231583,0.19106692226094796
"Res","m","C2007","Around[0.026657998739436597, 0.0029936227662103955]","Around[0.12372908116676909, 0.010615451741443712]",0.5647945416007714,0.5335489334610733,">= 0.8"
"Res_hi","f","C2006","Around[0.014235769881763078, 0.0020846115496512855]","Around[-0.038019613993632725, 0.00872295003022808]",0.6004042508696246,0.36601528003216494,">= 0.8"
"Res_hi","m","C2006","Around[0.0374561455318824, 0.0025724939500812597]","Around[0.029630891593190493, 0.009696221596064961]",0.26314265795309755,0.43981697515957335,">= 0.8"
"Res_lo","f","C2006","Around[0.00895076934064134, 0.0017841400010360398]","Around[-0.06951162679739982, 0.00803035844051601]",0.6326223825692998,0.607107689052494,">= 0.8"
"Res_lo","m","C2006","Around[0.005700020963426602, 0.0022520418854552345]","Around[0.09887915601477991, 0.009194940183765815]",0.5500746459214596,0.5677140686663307,">= 0.8"
"Sim_hi","f","C2006","Around[0.0036159936012481503, 0.0020158838146543]","Around[-0.13893248570238273, 0.010387235441337003]",0.24197208247570098,0.7214091442979568,0.7063000538015467
"Sim_hi","m","C2006","Around[-0.010827566036406807, 0.002339237640857847]","Around[-0.07477397007151694, 0.008607891123198869]",0.5797198994922284,0.8893059678913283,0.4112380527064319
"Sim_lo","f","C2006","Around[0.028623633243033894, 0.0016994826266911796]","Around[0.11506131300399326, 0.008917260289510757]",0.1641741678606094,0.5734269058334032,">= 0.8"
"Sim_lo","m","C2006","Around[0.02040888988404748, 0.0026301987469258027]","Around[-0.03130567236273172, 0.009416903270407971]",0.4769746829064486,0.4915058279257181,">= 0.8"
"Sul","f","C2017","Around[-0.0010277686710923905, 0.0017596019333181911]","Around[-0.05360979685785543, 0.008543980752994396]",0.8322153359860328,0.7778178338713965,0.5963938638358076
"Sul","m","C2017","Around[0.008383585416046576, 0.003767207404646357]","Around[0.06082991874551271, 0.008587595365714141]",0.6189671953695385,0.687973379511905,0.7761049203715725
"Syr","f","C2017","Around[-0.0014828906166392966, 0.001960717919942074]","Around[-0.03562209257101305, 0.009357714317635577]",0.9133581098721893,0.8041518772138435,0.5487165338004383
"Syr","m","C2017","Around[0.03526695230627469, 0.0035604838491490524]","Around[0.2096616411076426, 0.00906650135514353]",0.059766034975488755,1.1204163493394257,0.1624283315400523
"TM5441","f","C2014","Around[-0.01547130348450227, 0.0017613433990575755]","Around[0.04680389263944411, 0.00792042452615456]",0.5076448063433903,0.5607283685250464,">= 0.8"
"TM5441","m","C2014","Around[-0.002278661742759261, 0.0025968533870660646]","Around[0.030257804241558165, 0.009887181931959248]",0.8707671056109599,0.6414893446319149,">= 0.8"
"UA","f","C2013","Around[0.016238145055129504, 0.001833616634730325]","Around[0.08244586617705153, 0.009393437428190111]",0.5292418191642364,0.6079464691951088,">= 0.8"
"UA","m","C2013","Around[0.035683137537038216, 0.0024220532950304033]","Around[0.10411288205860159, 0.010183549518962548]",0.32612990090177146,0.7571637311090499,0.6354342529816062
"UDCA","f","C2011","Around[-0.011419625474451656, 0.0021205360661941818]","Around[-0.10410694679267748, 0.008501041320918163]",0.5919057773954642,0.8582274948914628,0.458423575277598
"UDCA","m","C2011","Around[0.04383011134885688, 0.0031576365824878064]","Around[0.1605074347645145, 0.011866475778167617]",0.347772627830374,0.9439991430573726,0.3365119615328488
