experiment,group,lifespan,healthspan,sickspan,censored,food,temperature,control,batch_day,batch_device
statzer_main,N2(WT),21.539641,21.539641,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),31.622975,18.956308,12.666667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.622975,16.622975,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),17.872975,17.872975,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),22.039641,17.956308,4.083333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),27.456308,17.706308,9.75,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),10.289641,9.247975,1.04166599999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),18.039641,17.456308,0.583332999999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),15.039641,15.039641,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.789641,16.789641,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),15.956308,15.039641,0.916667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.372975,16.372975,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),28.622975,16.289641,12.333334,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),12.539641,9.622975,2.91666599999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.206308,16.206308,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),15.122975,15.122975,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),14.206308,14.206308,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),13.456308,13.456308,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),13.289641,13.289641,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),13.289641,13.289641,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),11.956308,11.956308,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),11.372975,11.372975,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),10.539641,10.539641,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),10.456308,10.456308,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),9.956308,9.372975,0.583332999999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),14.539641,14.539641,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.789641,16.789641,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),18.539641,18.539641,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),20.039641,20.039641,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),18.539641,14.122975,4.41666599999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),18.622975,14.789641,3.833334,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),21.372975,19.789641,1.583334,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.789641,16.789641,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),30.914641,30.914641,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),32.372975,32.372975,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),20.706308,12.622975,8.083333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),23.706308,13.372975,10.333333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),40.456308,34.706308,5.75,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),32.039641,25.956308,6.083333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),11.289641,11.039641,0.25,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),14.122975,11.706308,2.416667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),39.956308,34.206308,5.75,0,heat-killed OP50,15,True,,
